Grupo Planificación,ID Equipo,Prioridad,Clase Orden,Plan Orden,Orden,Descripción de la Orden,Puesto Trabajo Responsable,Estado Sistema Orden,Estado Usuario Orden,Autor Orden,Fecha Orden,Fecha Inicion Extremo,Inicio Programado,Inicio Real,Modificado por,Fecha Modificación,Código Estado Sistema,Código Estado Usuario,Estado Sistema,Estado Orden
PAL,PD101,2,ZM01,,7138167,CAMBIO DE PUERTA LADO PERFORACION,MECPAL01,LIB. DMNV NLIQ PREC,WMAT SPCD,JPAREDES,23-jun-23,15-abr-24,15-abr-24,,FNINA,12-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD102,2,ZM01,,7138168,CAMBIO DE PUERTA LADO PERFORACION,MECPAL01,LIB. DMNV NLIQ PREC,WMAT SPCD,JPAREDES,23-jun-23,15-abr-24,15-abr-24,,FNINA,12-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD103,2,ZM01,,7138169,CAMBIO DE PUERTA LADO PERFORACION,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,JPAREDES,23-jun-23,15-abr-24,15-abr-24,,FNINA,12-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD101,,ZM01,,7138356,CAMBIO DE PACKING SWIVEL,MECPAL01,LIB. DMNV FMAT NLIQ PREC,DPRO SPCD,JPAREDES,26-jun-23,20-abr-24,20-abr-24,,UGPMMAININ08,06-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD401,2,ZM01,,7139435,Reponer Cargador Bateria de Ctrl Remoto,MINELC01,LIB. DMNV IMPP MOVM NLIQ PREC,WMAT GRTA SPCD,JTAYPE,12-jul-23,30-abr-24,30-abr-24,,JTERRONES,11-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD302,2,ZM01,,7139513,CAMBIO DE SOPORTE DE CARGADOR DE BARRA,MECPAL01,LIB. IMPR DMNV MOVM NLIQ PREC,RPRG SPCD,JGOMEZ,14-jul-23,07-abr-24,07-abr-24,,JGOMEZ,10-abr-24,LIB.,RPRG,ABIE,RPRG
PAL,PD101,2,ZM01,,7139788,CAMB PIN SOPORTE PRINCIPAL LLAVE QUIEBRE,MECPAL01,LIB. DMNV FMAT MOVM NLIQ PREC,WMAT SPCD,WDIANDERAS,20-jul-23,15-abr-24,15-abr-24,,FNINA,16-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD401,2,ZM01,,7140426,CAMBIO DE INYECTORES DE CABEZAL DE ROTAC,MECPAL01,LIB. DMNV EDET NLIQ PREC,DPRO SPCD,JGOMEZ,01-ago-23,24-abr-24,24-abr-24,,FNINA,13-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD103,2,ZM01,,7140449,cambio de caja seccionador 7200vca,MINELC01,LIB. DMNV NLIQ PREC,WMAT SPCD,UGPMALTENS01,02-ago-23,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD402,2,ZM01,,7141007,MC Alineamiento motor - pto,MECPAL01,LIB. DMNV KKMP NLIQ PREC,PROG SPCD,DROCA,13-ago-23,18-ago-23,18-ago-23,,YMORALES,12-oct-23,LIB.,PROG,ABIE,PROG
PAL,PD302,2,ZM01,,7144230,cambio de limit switch,MINELC01,LIB. DMNV NLIQ PREC,WMAT SPCD,UGPMALTENS01,09-oct-23,05-may-24,05-may-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD102,2,ZM01,,7144463,MC Cmb Polea Pulldown LNC/LC inferior,MECPAL01,LIB. IMPR DMNV NLIQ PREC,RPRG SPCD,RNARAHASHI,14-oct-23,19-abr-24,19-abr-24,,UGPMMAININ08,07-abr-24,LIB.,RPRG,ABIE,RPRG
PAL,PD101,2,ZM01,,7144511,CAMBIO LINEA BARRIDO POR CORROSION,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,UGPMCAM03,14-oct-23,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD102,2,ZM01,,7144512,CAMBIO LINEA DE BARRIDO X CORROSION,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,UGPMCAM03,14-oct-23,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD103,2,ZM01,,7144513,CAMBIO DE LINEA DE BARRIDO X CORROSION,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,UGPMCAM03,14-oct-23,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD401,2,ZM01,,7144712,CBO. pernos de zapata x fractura,MECPAL01,LIB. DMNV EDET MOVM NLIQ PREC,PROG PPAL SPCD,JPAREDES,18-oct-23,25-oct-23,25-oct-23,,JGOMEZ,18-nov-23,LIB.,PROG,ABIE,PROG
PAL,PD401,2,ZM01,,7144847,cambio cableado circulina (uso manlift),MINELC01,LIB. IMPR DMNV MOVM NLIQ PREC,RPRG SPCD,UGPMELECT01,21-oct-23,23-abr-24,23-abr-24,,UGPMMAININ08,06-abr-24,LIB.,RPRG,ABIE,RPRG
PAL,PD102,3,ZM01,,7145584,MC Cmb Pernos de Zapata LH/RH,MECPAL01,LIB. IMPR DMNV EDET FMAT MOVM NLIQ PREC,PROG SPCD,RNARAHASHI,01-nov-23,17-abr-24,17-abr-24,,UGPMCONFSU02,10-abr-24,LIB.,PROG,ABIE,PROG
PAL,PD101,1,ZM01,,7145976,CBO DE SELLO DE ROD SUP_CABEZAL DE ROTAC,MECPAL01,LIB. DMNV FMAT NLIQ PREC,DPRO SPCD,JGOMEZ,09-nov-23,19-abr-24,19-abr-24,,UGPMMAININ05,02-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD401,2,ZM01,,7146104,INSP DE SPOOL DE VÁLVULA DE BLOQUE 4,MECPAL01,LIB. IMPR DMNV EDET MOVM NLIQ PREC,PROG SPCD,MBERROSPI,11-nov-23,08-ene-24,08-ene-24,,JFAILOC,03-ene-24,LIB.,PROG,ABIE,PROG
PAL,PD402,3,ZM01,,7146296,Inspección Sistema Minestar Terrain,MINEXT01,LIB. IMPR DMNV KKMP NLIQ PREC,PROG,RCRUZ,14-nov-23,18-dic-23,18-dic-23,,YMORALES,13-dic-23,LIB.,PROG,ABIE,PROG
PAL,PD401,3,ZM01,,7146301,Inspección Sistema Minestar Terrain,MINEXT01,LIB. IMPR DMNV KKMP NLIQ PREC,PROG,RCRUZ,14-nov-23,30-mar-24,30-mar-24,,UGPMCONFSU02,27-mar-24,LIB.,PROG,ABIE,PROG
PAL,PD402,1,ZM01,,7146486,REEMPLAZO DE TOPES LATERALES,MECPAL01,LIB. IMPR DMNV EDET FMAT MOVM NLIQ PREC,WMAT SPCD,JGOMEZ,17-nov-23,17-abr-24,17-abr-24,,UGPMMAININ08,05-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD302,1,ZM01,,7146489,REPOSICIÓN DE TAPA DE LLENADO DE ACEITE,MECPAL01,LIB. IMPR DMNV EDET FMAT MOVM NLIQ PREC,PROG SPCD,JGOMEZ,17-nov-23,11-dic-23,11-dic-23,,JFAILOC,06-dic-23,LIB.,PROG,ABIE,PROG
PAL,PD101,1,ZM01,,7146491,CAMBIO DE CILINDRO DE GATO LC Y LNP,MECPAL01,LIB. IMPR DMNV NLIQ PREC,RPRG SPCD,JGOMEZ,17-nov-23,19-abr-24,19-abr-24,,UGPMMAININ05,02-abr-24,LIB.,RPRG,ABIE,RPRG
PAL,PD401,1,ZM01,,7146527,CAMBIO DE ENFRIADOR DE ACEI DE COMPRESOR,MECPAL01,LIB. EDET FMAT NLIQ PREC,WMAT SPCD,JGOMEZ,18-nov-23,18-nov-23,18-nov-23,,FNINA,02-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD101,3,ZM01,,7147106,CAMBIO DE DIFUSORES,MINELC01,LIB. DMNV NLIQ PREC,DPRO SPCD,JTAYPE,28-nov-23,15-abr-24,15-abr-24,,FNINA,11-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD102,3,ZM01,,7147107,CAMBIO DE DIFUSORES,MINELC01,LIB. DMNV NLIQ PREC,DPRO SPCD,JTAYPE,28-nov-23,15-abr-24,15-abr-24,,FNINA,11-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD103,3,ZM01,,7147108,CAMBIO DE DIFUSORES,MINELC01,LIB. DMNV NLIQ PREC,DPRO SPCD,JTAYPE,28-nov-23,15-abr-24,15-abr-24,,FNINA,11-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD101,1,ZM01,,7147228,Cambio mangueras sistema A/C,MINELC01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,JMACEDOL,01-dic-23,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD101,2,ZM01,,7147655,CBO. tubería d subida a motores rotación,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,JPAREDES,07-dic-23,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD102,3,ZM01,,7147679,CABLE DE BOMBAS,MINELC01,LIB. IMPR DMNV NLIQ PREC,PROG SPCD,JTAYPE,07-dic-23,17-abr-24,17-abr-24,,UGPMCONFSU02,10-abr-24,LIB.,PROG,ABIE,PROG
PAL,PD103,3,ZM01,,7147683,cambio de bocina,MINELC01,LIB. DMNV NLIQ PREC,DPRO SPCD,JTAYPE,07-dic-23,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD102,3,ZM01,,7147797,Cambio de componentes Minestar,MINEXT01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT,RCRUZ,10-dic-23,15-abr-24,15-abr-24,,FNINA,16-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD103,3,ZM01,,7147798,Cambio de componentes Minestar,MINEXT01,LIB. DMNV EDET FMAT NLIQ PREC,PLAN,RCRUZ,10-dic-23,20-dic-23,20-dic-23,,MBERROSPI,14-mar-24,LIB.,PLAN,ABIE,PLAN
PAL,PD401,3,ZM01,,7147799,Cambio de componentes Minestar,MINEXT01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT,RCRUZ,10-dic-23,20-dic-23,20-dic-23,,UGPMCONFSU02,09-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD103,2,ZM01,,7148121,cambio de sw de filtrol de aire,MINELC01,LIB. IMPR DMNV NLIQ PREC,WMAT SPCD,JMACEDOL,17-dic-23,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD101,2,ZM01,,7148122,cambio de cable de bombas,MINELC01,LIB. DMNV NLIQ PREC,DPRO SPCD,JMACEDOL,17-dic-23,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD302,2,ZM01,,7148180,camb. de rele de arranque,MINELC01,LIB. DMNV NLIQ PREC,WMAT SPCD,UGPMALTENS01,18-dic-23,05-may-24,05-may-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD402,2,ZM01,,7148736,Reemp sensor Ultrasonico de nivel Agua,MINELC01,LIB. DMNV EDET NLIQ PREC,WMAT SPCD,UGPMALTENS01,31-dic-23,15-abr-24,15-abr-24,,FNINA,18-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD402,2,ZM01,,7148796,camb. cable solenoide forward,MINELC01,LIB. DMNV EDET NLIQ PREC,WMAT SPCD,UGPMALTENS01,01-ene-24,22-abr-24,22-abr-24,,FNINA,18-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD101,3,ZM01,,7149216,CABLE DE CARRUSEL,MINELC01,LIB. DMNV NLIQ PREC,DPRO SPCD,JTAYPE,09-ene-24,19-abr-24,19-abr-24,,UGPMMAININ05,02-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD102,3,ZM01,,7149217,CABLE Y MANGUERA DE SENSOR MAGNETICO,MINELC01,LIB. IMPR DMNV MOVM NLIQ PREC,PROG SPCD,JTAYPE,09-ene-24,17-abr-24,17-abr-24,,UGPMCONFSU02,10-abr-24,LIB.,PROG,ABIE,PROG
PAL,PD401,3,ZM01,,7149218,cambio LUCES DE EMERGENCIA,MINELC01,LIB. DMNV EDET NLIQ PREC,DPRO SPCD,JTAYPE,09-ene-24,24-abr-24,24-abr-24,,UGPMMAININ08,06-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD401,2,ZM01,,7149271,Reemplazo Joystick Propel RH,MINELC01,LIB. DMNV EDET NLIQ PREC,DPRO SPCD,JTAYPE,10-ene-24,25-abr-24,25-abr-24,,FNINA,11-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD402,2,ZM01,,7149272,Reempazo de manija de tablero de MCC,MINELC01,LIB. DMNV EDET NLIQ PREC,WMAT SPCD,JTAYPE,10-ene-24,30-mar-24,30-mar-24,,JTERRONES,02-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD402,2,ZM01,,7149273,Reemplazo de Tablero JB05,MINELC01,LIB. DMNV EDET NLIQ PREC,WMAT SPCD,JTAYPE,10-ene-24,07-abr-24,07-abr-24,,FNINA,18-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD302,2,ZM01,,7149422,CAMBIO DE COUPLING DE BOMBAS PRINCIPALES,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,JGOMEZ,13-ene-24,05-may-24,05-may-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD102,3,ZM01,,7149430,REPOS DE PERNOS DE INTERCAMBIADOR DE BAR,MECPAL01,LIB. DMNV NLIQ PREC,DPRO SPCD,JGOMEZ,13-ene-24,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD103,2,ZM01,,7149431,CAMBIO DE CARRIER HOSE,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,JGOMEZ,13-ene-24,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD101,1,ZM01,,7149443,Cbio paradas emergencia,MINELC01,LIB. DMNV NLIQ PREC,DPRO SPCD,JMACEDOL,14-ene-24,20-abr-24,20-abr-24,,UGPMMAININ08,06-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD102,1,ZM01,,7149444,Cbio paradas emergencia,MINELC01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,JMACEDOL,14-ene-24,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD103,1,ZM01,,7149445,Cbio paradas emergencia,MINELC01,LIB. DMNV NLIQ PREC,DPRO SPCD,JMACEDOL,14-ene-24,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD401,2,ZM01,,7149466,CAMBIO DE CILINDRO HDY DE CORTINA,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,JGOMEZ,14-ene-24,21-sep-24,21-sep-24,,FNINA,28-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD401,2,ZM01,,7149467,CAMBIO DE TOPES SUPERIORES,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,DPRO SPCD,JGOMEZ,14-ene-24,11-abr-24,11-abr-24,,FNINA,13-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD401,1,ZM01,,7149488,CAMBIO DE INDIC DE SAT DE FILTRO DE COMP,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,JGOMEZ,14-ene-24,21-sep-24,21-sep-24,,FNINA,28-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD402,2,ZM01,,7149509,CAMBIO DE FILTROS DE ACEITE COMPRESOR,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,DPRO SPCD,WDIANDERAS,15-ene-24,26-mar-24,28-mar-24,,FNINA,13-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD401,1,ZM01,,7149581,Cambio kit control remoto,MINELC01,LIB. DMNV EDET NLIQ PREC,WMAT SPCD,JMACEDOL,16-ene-24,15-abr-24,15-abr-24,,FNINA,18-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD402,2,ZM01,,7149665,CAMBIO DE IND DE SATURACIÓN DE FILT COMP,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,JGOMEZ,18-ene-24,21-sep-24,21-sep-24,,FNINA,28-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD402,2,ZM01,,7149667,CAMBIO DE TOPES SUPERIORES DE CARRO,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,DPRO SPCD,JGOMEZ,18-ene-24,11-abr-24,11-abr-24,,FNINA,13-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD402,2,ZM01,,7149669,CAMBIO DE CHAPA DE PUERTA DE SALA DE MA,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,JGOMEZ,18-ene-24,18-oct-24,18-oct-24,,FNINA,18-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD402,2,ZM01,,7149670,CAM DE CILINDRO DE CORTINA DE POLVO LNC,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,JGOMEZ,18-ene-24,21-sep-24,21-sep-24,,FNINA,28-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD101,2,ZM01,,7149912,Fuga aceite x manifold/porta filtro comp,MECPAL01,LIB. DMNV FMAT NLIQ PREC,DPRO SPCD,UGPMCARGUI01,22-ene-24,20-abr-24,20-abr-24,,UGPMMAININ08,06-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD402,2,ZM01,,7149932,REPARAR FISURA EN ESTRUCTURA DE MASTIL,MINSOL01,LIB. IMPR DMNV KKMP NLIQ PREC,PROG SPCD,WDIANDERAS,22-ene-24,27-mar-24,27-mar-24,,UGPMCONFSU02,20-mar-24,LIB.,PROG,ABIE,PROG
PAL,PD402,2,ZM01,,7149933,REPARAR FISURAS DE CARRUSEL PORTA BARRA,MINSOL01,LIB. IMPR DMNV KKMP NLIQ PREC,PROG SPCD,WDIANDERAS,22-ene-24,27-mar-24,27-mar-24,,UGPMCONFSU02,20-mar-24,LIB.,PROG,ABIE,PROG
PAL,PD101,,ZM01,,7150104,cambio de dial sensor de nivel de grasa,MINELC01,LIB. DMNV EDET NLIQ PREC,WMAT SPCD,UGPMALTENS01,25-ene-24,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD102,2,ZM01,,7150105,cambio de dial sensor de nivel de grasa,MINELC01,LIB. DMNV EDET NLIQ PREC,WMAT SPCD,UGPMALTENS01,25-ene-24,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD103,2,ZM01,,7150106,cambio de dial sensor de nivel de grasa,MINELC01,LIB. DMNV EDET NLIQ PREC,WMAT SPCD,UGPMALTENS01,25-ene-24,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD102,2,ZM01,,7150123,CBO. Motor Hyd. accionamiento compresor,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,UGPMCARGUI01,25-ene-24,15-abr-24,15-abr-24,,FNINA,28-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD101,2,ZM01,,7150134,cambio filtro tablero eléctirco auxliar,MINELC01,LIB. DMNV FMAT NLIQ PREC,DPRO SPCD,UGPMALTENS01,26-ene-24,20-abr-24,20-abr-24,,UGPMMAININ08,06-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD102,2,ZM01,,7150135,cambio filtro tablero eléctirco auxliar,MINELC01,LIB. IMPR DMNV FMAT NLIQ PREC,PROG SPCD,UGPMALTENS01,26-ene-24,17-abr-24,17-abr-24,,UGPMCONFSU02,10-abr-24,LIB.,PROG,ABIE,PROG
PAL,PD402,2,ZM01,,7150147,camb heater element W37 arranque compres,MINELC01,LIB. DMNV EDET NLIQ PREC,WMAT SPCD,UGPMALTENS01,26-ene-24,30-mar-24,30-mar-24,,JTERRONES,13-feb-24,LIB.,WMAT,ABIE,WMAT
PAL,PD401,2,ZM01,,7150304,Cbio ducto de asiento operador,MINELC01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,JMACEDOL,28-ene-24,28-mar-24,28-mar-24,,FNINA,18-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD402,2,ZM01,,7150379,CAMBIO PLATO ESTABILIZADOR LNC - LPER,MEC_MANU,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,UGPMEQAUX02,29-ene-24,04-may-24,04-may-24,,FNINA,11-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD101,2,ZM01,,7150400,CAMBIO TUBERIA SISTEMA AVANCE CABEZAL,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,UGPMEQAUX02,30-ene-24,15-abr-24,15-abr-24,,FNINA,16-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD102,2,ZM01,,7150406,CAMBIO SPOOL COIL BOMBA PRINCIPAL,MECPAL01,LIB. EDET FMAT NLIQ PREC,WMAT SPCD,UGPMEQAUX02,30-ene-24,31-mar-24,31-mar-24,,FNINA,28-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD102,2,ZM01,,7150407,CAMBIO CHAPA SALA MAQUINAS,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,UGPMEQAUX02,30-ene-24,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD102,2,ZM01,,7150408,CAMBIO TUBERIA SISTEMA ROTACION CABEZAL,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,UGPMEQAUX02,30-ene-24,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD103,2,ZM01,,7150420,CAMBIO VALVULAS SISTEMA INYECC AGUA,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,UGPMEQAUX02,30-ene-24,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD401,2,ZM01,,7150421,CAMBIO CHAPA PUERTA SALA MAQ LNC,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,DPRO SPCD,UGPMEQAUX02,30-ene-24,30-abr-24,30-abr-24,,FNINA,13-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD401,2,ZM01,,7150422,CAMBIO PIN LLAVE DE QUIEBRE,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,UGPMEQAUX02,30-ene-24,21-sep-24,21-sep-24,,FNINA,28-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD401,2,ZM01,,7150424,CAMBIO MANIFOLD ADMISION COMPRESOR,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,UGPMEQAUX02,30-ene-24,06-feb-24,06-feb-24,,FNINA,28-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD401,2,ZM01,,7150425,CAMBIO CORTINA POLVO FRONTAL,MECPAL01,LIB. DMNV EDET NLIQ PREC,DPRO SPCD,UGPMEQAUX02,30-ene-24,02-abr-24,02-abr-24,,FNINA,13-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD401,2,ZM01,,7150427,CAMBIO SELLO PUERTA DE CABINA,MECPAL01,LIB. DMNV EDET NLIQ PREC,DPRO SPCD,UGPMEQAUX02,30-ene-24,27-mar-24,28-mar-24,,FNINA,13-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD401,2,ZM01,,7150428,CAMBIO PERNOS PROTECTOR RODILLOS INF,MECPAL01,LIB. DMNV EDET NLIQ PREC,DPRO SPCD,UGPMEQAUX02,30-ene-24,26-mar-24,28-mar-24,,FNINA,13-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD402,2,ZM01,,7150433,CAMBIO CORTINA POLVO FRONTAL,MECPAL01,LIB. DMNV EDET NLIQ PREC,DPRO SPCD,UGPMEQAUX02,30-ene-24,02-abr-24,02-abr-24,,FNINA,13-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD301,2,ZM01,,7150441,CAMBIO POLEAS / CARRO PORTA POLEAS,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,UGPMEQAUX02,30-ene-24,05-may-24,05-may-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD103,2,ZM01,,7150445,CAMBIO DE ROD SEAL,MECPAL01,LIB. DMNV MOVM NLIQ PREC,CANC SPCD,UGPMEQAUX02,30-ene-24,06-feb-24,06-feb-24,,FNINA,02-mar-24,LIB.,CANC,ABIE,CANC
PAL,PD101,2,ZM01,,7150481,CAMBIO VALVULA CHECK SISTEMA BARRIDO,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,UGPMEQAUX02,31-ene-24,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD101,2,ZM01,,7150482,instalar alambre pernos de cabezal rotac,MECPAL01,LIB. IMPR DMNV MOVM NLIQ PREC,RPRG SPCD,UGPMEQAUX02,31-ene-24,19-abr-24,19-abr-24,,UGPMMAININ05,02-abr-24,LIB.,RPRG,ABIE,RPRG
PAL,PD102,2,ZM01,,7150705,CAMBIO VALVULAS SISTEMA DE BARRIDO,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,UGPMCARGUI01,04-feb-24,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD101,2,ZM01,,7150871,CAMBIO DE INYECTORES,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,DPRO SPCD,UGPMCARGUI01,07-feb-24,25-abr-24,25-abr-24,,UGPMMAININ05,28-mar-24,LIB.,DPRO,ABIE,DPRO
PAL,PD402,2,ZM01,,7151125,Cbio termostato sist A/C,MINELC01,LIB. DMNV EDET FMAT NLIQ PREC,DPRO SPCD,JMACEDOL,11-feb-24,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD301,2,ZM01,,7151127,Cbio termostato sist A/C,MINELC01,LIB. DMNV EDET NLIQ PREC,WMAT SPCD,JMACEDOL,11-feb-24,05-may-24,05-may-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD101,2,ZM01,,7151335,CAMBIO VALVULA MARIPOSA SUCC COMPRESOR,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,UGPMCARGUI01,15-feb-24,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD103,2,ZM01,,7151483,INST PERNOS TUERCAS Y CONTRATUERCA COMPR,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,UGPMCARGUI01,18-feb-24,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD101,2,ZM01,,7151513,CONTROL DE DESPLAZAMIENTO DEL SPINDLE,MECPAL01,LIB. IMPR KKMP NLIQ PREC,PROG SPCD,WDIANDERAS,18-feb-24,23-feb-24,23-feb-24,,JFAILOC,21-feb-24,LIB.,PROG,ABIE,PROG
